year,region,time_index,consumption_lag_1,consumption_lag_2,cost_lag_1,cost_lag_2,consumption_rolling_mean_2,consumption_rolling_std_2,cost_rolling_mean_2,consumption_growth_lag_1_pct,cost_growth_lag_1_pct,winter_consumption_growth_lag_1_pct,rest_consumption_growth_lag_1_pct,region_historical_mean_consumption,region_historical_mean_cost
2021,Eastern Region,4,25039529172,32484475163,6148415052,11329072150,28762002167.5,5264371795.8037,8738743601,-22.9184739899379,-45.7288737277571,-18.9088297127976,-23.5292479443365,32414060743.6722,6124250144.02489
2021,Hail,4,4313963103,3861815623,865944215,888657499,4087889363,319716549.204409,877300857,11.7081581344051,-2.55590978814212,-10.9335938714088,18.9103163613028,4594128337.241,656119996.300689
2021,Jazan,4,7805460602,9397564226,1625031896,2423470589,8601512414,1125787268.88208,2024251242.5,-16.9416626022642,-32.9460855280881,-32.0543154102925,-12.0781689452668,11652265548.6455,1789312619.38186
2021,Madinah,4,12326096873,13323863197,2637497156,3552195584,12824980035,705527333.739973,3094846370,-7.48856626075729,-25.7502270460567,-29.5684675669221,-1.35397669868277,14130786372.1196,2202352962.95377
2021,Makkah,4,54697403161,49646990867,11578548744,12489950209,52172197014,3571180780.87532,12034249476.5,10.1726453221095,-7.2970784490659,-3.03391350588398,13.4253611132866,58778951342.8467,9047870262.34987
2021,Najran,4,2789328989,3311651001,564794992,788501856,3050489995,369337436.648197,676648424,-15.7722541367517,-28.3711271315004,-23.4885153788152,-13.5365735016077,3930412617.0673,580664334.332987
2021,Northern Borders,4,1726942826,1846945350,351519795,440027650,1786944088,84854598.4798993,395773722.5,-6.49735109920822,-20.11415759896,-20.3482445337446,-1.6879530445484,1983178208.33452,284926262.770232
2021,Riyadh,4,53561194485,40748603259,11927547245,11431943354,47154898872,9059870140.47586,11679745299.5,31.4430193951988,4.33525495756231,-6.04104827306319,41.9624529541212,57652163127.1442,9124951325.0128
2021,Tabuk,4,4448465856,4895356711,846501254,978495394,4671911283.5,315999554.020754,912498324,-9.12887214114191,-13.4895003910463,-27.5882428211364,-3.46401158758385,5234623232.54237,686051320.100847
2022,Al-Bahah,5,1832647730,2303504309,403835002,507143229,2068076019.5,332945879.977199,455489115.5,-20.4408811895997,-20.3706213733162,-21.5948368389777,-20.1457363313928,2643707836.27256,450817519.803845
2022,Al-Jouf,5,1495169225,2593704416,354387934,641460900,2044436820.5,776781682.928159,497924417,-42.3539083414199,-44.7529952332247,-47.5308487109086,-41.1079573590601,3717366562.84617,648598955.310782
2022,Al-Qassim,5,10685966202,10038115978,2405546724,2197242924,10362041090,458099286.583624,2301394824,6.45390255920393,9.48023533150311,-18.0019939609604,10.8837338396219,10067761789.928,1754627462.5126
2022,Asir,5,5949106568,10832588845,1413160934,2455697225,8390847706.5,3453143433.87102,1934429079.5,-45.0813960252361,-42.4537797407007,-55.9076198647719,-42.7110227173094,15959635423.5628,2696194095.79182
2022,Eastern Region,5,18541505095,25039529172,4221531583,6148415052,21790517133.5,4594796889.16016,5184973317.5,-25.9510633461363,-31.3395151873036,-24.8350015204359,-26.1313406789739,29639549613.9378,5743706431.81992
2022,Hail,5,4313947564,4313963103,952280633,865944215,4313955333.5,10987.7322728578,909112424,-0.0003602024317039,9.9702055287707,-13.1345983652925,3.12897373644605,4538092182.5928,715352123.640551
2022,Jazan,5,5273035639,7805460602,1176446938,1625031896,6539248120.5,1790694864.18339,1400739417,-32.4442732098489,-27.6046863513379,-36.4787139772743,-31.4409146803218,10376419566.7164,1666739483.10549
2022,Madinah,5,11038916270,12326096873,2513774412,2637497156,11682506571.5,910174132.993088,2575635784,-10.4427266495003,-4.69091478330299,-26.3389059533455,-7.28940195564793,13512412351.6957,2264637252.76301
2022,Makkah,5,54498273349,54697403161,12442921930,11578548744,54597838255,140806040.401822,12010735337,-0.364057159009668,7.46529815705892,-4.14314728859569,0.431650237445336,57922815744.0773,9726880595.8799
2022,Najran,5,2018166709,2789328989,478249987,564794992,2403747849,545294077.583275,521522489.5,-27.6468743214284,-15.3232599838633,-24.5970401418531,-28.4288140087705,3547963435.45384,560181464.866389
2022,Northern Borders,5,1544512407,1726942826,346438834,351519795,1635727616.5,128997786.369601,348979314.5,-10.5637787339232,-1.44542670776193,-18.4308182814755,-8.35061837897204,1895445048.06762,297228777.016186
2022,Riyadh,5,56274905515,53561194485,13283907918,11927547245,54918050000,1918883471.49373,12605727581.5,5.06656181978911,11.3716646443684,-7.08118016356425,7.32290870947991,57376711604.7154,9956742643.61024
2022,Tabuk,5,3862737062,4448465856,870799760,846501254,4155601459,414172802.173618,858650507,-13.1669841460058,2.87046308380305,-27.6786614528564,-9.82649716008817,4960245998.4339,723001008.080678
