year,region,annual_consumption_kwh,annual_cost_sar,winter_consumption_kwh,rest_of_year_consumption_kwh,winter_cost_sar,rest_of_year_cost_sar,average_cost_sar_per_kwh,winter_consumption_share_pct,selected_source,source_file,time_index,region_id,rest_to_winter_consumption_ratio,winter_to_rest_consumption_ratio,winter_cost_share_pct,consumption_lag_1,cost_lag_1,consumption_lag_2,cost_lag_2,consumption_rolling_mean_2,consumption_rolling_std_2,cost_rolling_mean_2,consumption_growth_lag_1_pct,cost_growth_lag_1_pct,winter_consumption_growth_lag_1_pct,rest_consumption_growth_lag_1_pct,region_historical_mean_consumption,region_historical_mean_cost,source_lineage
2021,Hail,4313947564,952280633,721039786,3592907778,158073974,794206659,0.220744600826122,16.7141527638652,GASTAT original workbook,HouseholdEnergyStatistics2021En.xlsx,4,5,4.9829535731056,0.200684189673627,16.5995157858051,4313963103,865944215,3861815623,888657499,4087889363,319716549.204409,877300857,11.7081581344051,-2.55590978814212,-10.9335938714088,18.9103163613028,4594128337.241,656119996.300689,GASTAT original workbook | HouseholdEnergyStatistics2021En.xlsx
2022,Hail,4470583610.30104,966633019.13433,916045926.675118,3554537683.62593,197964852.496434,768668166.637896,0.216220767442316,20.4905221896394,GASTAT original workbook,HouseholdEnergyStatistics2022En.xlsx,5,5,3.88030510274466,0.25771169367395,20.4798355299017,4313947564,952280633,4313963103,865944215,4313955333.5,10987.7322728578,909112424,-0.000360202431703982,9.9702055287707,-13.1345983652925,3.12897373644605,4538092182.5928,715352123.640551,GASTAT original workbook | HouseholdEnergyStatistics2022En.xlsx
2019,Jazan,9397564226,2423470589,2287978519,7109585707,583000149,1840470440,0.257882843970893,24.3465057963627,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,2,6,3.10736558405599,0.321816011972018,24.0564152767608,14750953202,1822494343,14655084164.5821,1286253649.52746,14703018683.2911,67789646.4639889,1554373996.26373,0.654169135715676,41.6901202705659,1.3494280318274,0.523083195586405,14703018683.2911,1554373996.26373,GASTAT original workbook | HouseholdEnergyStatistics2019En.xlsx
2020,Jazan,7805460602,1625031896,1554582668,6250877934,320517165,1304514731,0.208191672325348,19.9166038657817,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,3,6,4.02093633402067,0.248698292370142,19.7237460870122,9397564226,2423470589,14750953202,1822494343,12074258714,3785417647.25891,2122982466,-36.2918172316767,32.9754793647664,-2.89367284815019,-42.6405551289861,12934533864.1941,1844072860.50915,GASTAT original workbook | HouseholdEnergyStatistics2020En.xlsx
2021,Jazan,5273035639,1176446938,987490903,4285544736,217088274,959358664,0.22310619888454,18.7271805200101,GASTAT original workbook,HouseholdEnergyStatistics2021En.xlsx,4,6,4.3398321169142,0.230423659961999,18.452874242595,7805460602,1625031896,9397564226,2423470589,8601512414,1125787268.88208,2024251242.5,-16.9416626022642,-32.9460855280881,-32.0543154102925,-12.0781689452668,11652265548.6455,1789312619.38186,GASTAT original workbook | HouseholdEnergyStatistics2021En.xlsx
2022,Jazan,7837668188.78303,1719413479.47596,1474368226.19217,6363299962.59086,319863623.987681,1399549855.48827,0.219378192347657,18.811312123448,GASTAT original workbook,HouseholdEnergyStatistics2022En.xlsx,5,6,4.31595028266803,0.231698683836974,18.603065976031,5273035639,1176446938,7805460602,1625031896,6539248120.5,1790694864.18339,1400739417,-32.4442732098489,-27.6046863513379,-36.4787139772743,-31.4409146803218,10376419566.7164,1666739483.10549,GASTAT original workbook | HouseholdEnergyStatistics2022En.xlsx
2019,Madinah,13323863197,3552195584,2896966402,10426896795,619823275,2932372309,0.266604027036229,21.7426909835901,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,2,7,3.59924671124992,0.277835914074567,17.4490187925418,15479286644,1302991274,15393898774.4783,1316727837.81506,15436592709.2391,60378341.5698965,1309859555.90753,0.554686442808805,-1.04323485997359,0.729998076600058,0.521360230592771,15436592709.2391,1309859555.90753,GASTAT original workbook | HouseholdEnergyStatistics2019En.xlsx
2020,Madinah,12326096873,2637497156,2040377831,10285719042,390820207,2246676949,0.213976669433563,16.5533165285225,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,3,7,5.04108547237004,0.198369975173195,14.8178437315441,13323863197,3552195584,15479286644,1302991274,14401574920.5,1524114535.70218,2427593429,-13.9245657540393,172.618524381615,16.9615570539087,-19.8081107782298,14732349538.4928,2057304898.60502,GASTAT original workbook | HouseholdEnergyStatistics2020En.xlsx
2021,Madinah,11038916270,2513774412,1502964633,9535951637,333905495,2179868917,0.227719311435632,13.6151465980818,GASTAT original workbook,HouseholdEnergyStatistics2021En.xlsx,4,7,6.34476116578054,0.15761034558611,13.2830334100799,12326096873,2637497156,13323863197,3552195584,12824980035,705527333.739973,3094846370,-7.48856626075729,-25.7502270460567,-29.5684675669221,-1.35397669868277,14130786372.1196,2202352962.95377,GASTAT original workbook | HouseholdEnergyStatistics2021En.xlsx
2022,Madinah,10720138906.4079,2311245638.50741,1603432658.66676,9116706247.74115,351392203.263046,1959853435.24436,0.215598478591156,14.9572003932553,GASTAT original workbook,HouseholdEnergyStatistics2022En.xlsx,5,7,5.6857431451606,0.175878504263976,15.2035853484605,11038916270,2513774412,12326096873,2637497156,11682506571.5,910174132.993088,2575635784,-10.4427266495003,-4.69091478330299,-26.3389059533455,-7.28940195564793,13512412351.6957,2264637252.76301,GASTAT original workbook | HouseholdEnergyStatistics2022En.xlsx
