Year;Administrative Region;Season;Measure and Unit;Value
2019;Al-Jouf;Winter;Consumption (KWh);700853935.0
2017;Riyadh;Winter;Cost (SAR);646321544.558405
2018;Riyadh;Winter;Cost (SAR);704968500.0
2021;Riyadh;Winter;Cost (SAR);1730985918.0
2019;Makkah;Winter;Cost (SAR);2019019112.0
2021;Makkah;Winter;Cost (SAR);2009727458.0
2018;Al Qassim;Winter;Cost (SAR);124437945.0
2017;Eastern Region;Winter;Cost (SAR);359183064.6755376
2018;Eastern Region;Winter;Cost (SAR);395266313.0
2021;Tabuk;Winter;Cost (SAR);136078020.0
2017;Hail;Winter;Cost (SAR);73455021.09765667
2021;Jazan;Winter;Cost (SAR);217088274.0
2017;Najran;Winter;Cost (SAR);54296994.89760524
2022;Najran;Winter;Cost (SAR);103258087.85763454
2019;Al-Jouf;Winter;Cost (SAR);178038911.0
2022;Al-Jouf;Winter;Cost (SAR);124274911.48681298
2019;Total;Winter;Cost (SAR);8480740247.0
2019;Riyadh;Rest of the year;Consumption (KWh);31818999925.0
2020;Riyadh;Rest of the year;Consumption (KWh);45171032799.0
2021;Riyadh;Rest of the year;Consumption (KWh);48478866294.0
2022;Riyadh;Rest of the year;Consumption (KWh);41758614119.97405
2018;Makkah;Rest of the year;Consumption (KWh);55099747098.0
2021;Al Qassim;Rest of the year;Consumption (KWh);9423675533.0
2020;Eastern Region;Rest of the year;Consumption (KWh);21557369812.0
2017;Asir;Rest of the year;Consumption (KWh);20464106366.0
2018;Asir;Rest of the year;Consumption (KWh);20584881000.0
2021;Asir;Rest of the year;Consumption (KWh);5091179063.0
2022;Asir;Rest of the year;Consumption (KWh);7068160876.405769
2017;Tabuk;Rest of the year;Consumption (KWh);4585245842.0
2019;Tabuk;Rest of the year;Consumption (KWh);3745827308.0
2017;Hail;Rest of the year;Consumption (KWh);3925871299.0
2021;Hail;Rest of the year;Consumption (KWh);3592907778.0
2017;Northern Borders;Rest of the year;Consumption (KWh);1680672755.0
2018;Jazan;Rest of the year;Consumption (KWh);12394795178.0
2021;Jazan;Rest of the year;Consumption (KWh);4285544736.0
2022;Jazan;Rest of the year;Consumption (KWh);6363299962.5908575
2017;Najran;Rest of the year;Consumption (KWh);4024055708.0
2021;Najran;Rest of the year;Consumption (KWh);1588964924.0
2018;Al-Bahah;Rest of the year;Consumption (KWh);2569383740.0
2022;Al-Bahah;Rest of the year;Consumption (KWh);1744594147.6505747
2021;Al-Jouf;Rest of the year;Consumption (KWh);1231174711.0
2017;Riyadh;Rest of the year;Cost (SAR);5000680818.49279
2018;Riyadh;Rest of the year;Cost (SAR);6788343838.0
2021;Riyadh;Rest of the year;Cost (SAR);11552922000.0
2022;Riyadh;Rest of the year;Cost (SAR);9058109828.138418
2020;Makkah;Rest of the year;Cost (SAR);9751225005.0
2022;Makkah;Rest of the year;Cost (SAR);7484200719.778509
2018;Madinah;Rest of the year;Cost (SAR);1142518355.0
2020;Madinah;Rest of the year;Cost (SAR);2246676949.0
2019;Al Qassim;Rest of the year;Cost (SAR);1851621754.0
2020;Al Qassim;Rest of the year;Cost (SAR);1858909102.0
2018;Asir;Rest of the year;Cost (SAR);2808175606.0
2022;Asir;Rest of the year;Cost (SAR);1526917250.8940885
2018;Tabuk;Rest of the year;Cost (SAR);408817758.0
2021;Tabuk;Rest of the year;Cost (SAR);734721740.0
2017;Hail;Rest of the year;Cost (SAR);321251274.1050998
2021;Hail;Rest of the year;Cost (SAR);794206659.0
2020;Najran;Rest of the year;Cost (SAR);454314992.0
2022;Al-Bahah;Rest of the year;Cost (SAR);374203654.83382934
2019;Al-Jouf;Rest of the year;Cost (SAR);944422326.0
2021;Al-Jouf;Rest of the year;Cost (SAR);295519925.0
2017;Total;Rest of the year;Cost (SAR);19996954830.281124
2017;Makkah;Winter;Consumption (KWh);10225556784.386745
2021;Makkah;Winter;Consumption (KWh);9119507632.0
2022;Madinah;Winter;Consumption (KWh);1603432658.666758
2021;Eastern Region;Winter;Consumption (KWh);2617365030.0
2022;Tabuk;Winter;Consumption (KWh);879807667.6899235
2018;Hail;Winter;Consumption (KWh);1062374669.0
2019;Hail;Winter;Consumption (KWh);931962566.0
2018;Northern Borders;Winter;Consumption (KWh);464963984.0
2017;Najran;Winter;Consumption (KWh);767280686.2692041
2021;Najran;Winter;Consumption (KWh);429201785.0
2018;Al-Bahah;Winter;Consumption (KWh);645193315.0
2019;Al-Bahah;Winter;Consumption (KWh);583781957.0
2018;Al-Jouf;Winter;Consumption (KWh);1064310433.0
2020;Al-Jouf;Winter;Consumption (KWh);503142337.0
2021;Al-Jouf;Winter;Consumption (KWh);263994514.0
2022;Al-Jouf;Winter;Consumption (KWh);577782031.280273
2018;Total;Winter;Consumption (KWh);41515758849.0
2020;Total;Winter;Consumption (KWh);32049258572.0
2022;Total;Winter;Consumption (KWh);27561605744.455082
2019;Riyadh;Winter;Cost (SAR);1952659947.0
2020;Riyadh;Winter;Cost (SAR);1647747438.0
2020;Makkah;Winter;Cost (SAR);1827323739.0
2018;Madinah;Winter;Cost (SAR);160472919.0
2021;Madinah;Winter;Cost (SAR);333905495.0
2018;Asir;Winter;Cost (SAR);388496914.0
2018;Hail;Winter;Cost (SAR);87337222.0
2017;Northern Borders;Winter;Cost (SAR);28935953.668130457
2019;Northern Borders;Winter;Cost (SAR);142002715.0
2019;Jazan;Winter;Cost (SAR);583000149.0
2020;Jazan;Winter;Cost (SAR);320517165.0
2018;Al-Bahah;Winter;Cost (SAR);44982179.0
2019;Al-Bahah;Winter;Cost (SAR);153285758.0
2020;Al-Jouf;Winter;Cost (SAR);101309290.0
2017;Total;Winter;Cost (SAR);2707517099.7260065
2020;Total;Winter;Cost (SAR);6271002983.0
2021;Total;Winter;Cost (SAR);5955096473.0
2017;Makkah;Rest of the year;Consumption (KWh);54951107564.0
2019;Makkah;Rest of the year;Consumption (KWh);39835650154.0
2017;Madinah;Rest of the year;Consumption (KWh);12934995238.0
2019;Al Qassim;Rest of the year;Consumption (KWh);6354815303.0
2019;Eastern Region;Rest of the year;Consumption (KWh);28190346286.0
2021;Tabuk;Rest of the year;Consumption (KWh);3260738261.0
2022;Tabuk;Rest of the year;Consumption (KWh);3992525149.8256235
2020;Hail;Rest of the year;Consumption (KWh);3483897539.0
2022;Hail;Rest of the year;Consumption (KWh);3554537683.625925
2020;Northern Borders;Rest of the year;Consumption (KWh);1347783540.0
2020;Najran;Rest of the year;Consumption (KWh);2220118197.0
2020;Al-Bahah;Rest of the year;Consumption (KWh);1834339162.0
2017;Total;Rest of the year;Consumption (KWh);219623690912.0
2018;Total;Rest of the year;Consumption (KWh);221519993629.0
2019;Riyadh;Rest of the year;Cost (SAR);9479283407.0
2020;Riyadh;Rest of the year;Cost (SAR);10279799807.0
2017;Makkah;Rest of the year;Cost (SAR);5151689960.917025
2021;Makkah;Rest of the year;Cost (SAR);10433194472.0
2019;Madinah;Rest of the year;Cost (SAR);2932372309.0
2021;Madinah;Rest of the year;Cost (SAR);2179868917.0
2022;Madinah;Rest of the year;Cost (SAR);1959853435.2443635
2022;Al Qassim;Rest of the year;Cost (SAR);1517744512.6265588
2022;Eastern Region;Rest of the year;Cost (SAR);4749091858.992446
2019;Asir;Rest of the year;Cost (SAR);3494972760.0
2021;Asir;Rest of the year;Cost (SAR);1212442957.0
2017;Northern Borders;Rest of the year;Cost (SAR);124393718.41279708
2021;Northern Borders;Rest of the year;Cost (SAR);279104695.0
2017;Jazan;Rest of the year;Cost (SAR);1136274518.6838713
2017;Najran;Rest of the year;Cost (SAR);451502210.43434113
2018;Najran;Rest of the year;Cost (SAR);406724274.0
2017;Al-Bahah;Rest of the year;Cost (SAR);202643571.97854498
2018;Al-Jouf;Rest of the year;Cost (SAR);710136919.0
2022;Al-Jouf;Rest of the year;Cost (SAR);411401253.00673836
2022;Total;Rest of the year;Cost (SAR);30973187231.043175
