year,region_original,region,season,measure,unit,value,source_type,source_file,source_sheet,source_table,source_excel_row
2018,Asir,Asir,Winter,Consumption,kWh,4195317852.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Asir,Asir,Winter,Cost,SAR,388496914.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Eastern Region,Eastern Region,Rest of the year,Consumption,kWh,30824335850.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Eastern Region,Eastern Region,Rest of the year,Cost,SAR,3099368423.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Eastern Region,Eastern Region,Winter,Consumption,kWh,5317397646.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Eastern Region,Eastern Region,Winter,Cost,SAR,395266313.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Hail,Hail,Rest of the year,Consumption,kWh,4155945546.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Hail,Hail,Rest of the year,Cost,SAR,387834754.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Hail,Hail,Winter,Consumption,kWh,1062374669.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Hail,Hail,Winter,Cost,SAR,87337222.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Jazan,Jazan,Rest of the year,Consumption,kWh,12394795178.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Jazan,Jazan,Rest of the year,Cost,SAR,1613227580.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Jazan,Jazan,Winter,Consumption,kWh,2356158024.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Jazan,Jazan,Winter,Cost,SAR,209266763.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Madinah,Madinah,Rest of the year,Consumption,kWh,13002433159.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Madinah,Madinah,Rest of the year,Cost,SAR,1142518355.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Madinah,Madinah,Winter,Consumption,kWh,2476853485.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Madinah,Madinah,Winter,Cost,SAR,160472919.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Makkah,Makkah,Rest of the year,Consumption,kWh,55099747098.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Makkah,Makkah,Rest of the year,Cost,SAR,5583934956.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Makkah,Makkah,Winter,Consumption,kWh,10494999897.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Makkah,Makkah,Winter,Cost,SAR,714318115.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Najran,Najran,Rest of the year,Consumption,kWh,4049575094.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Najran,Najran,Rest of the year,Cost,SAR,406724274.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Najran,Najran,Winter,Consumption,kWh,779758990.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Najran,Najran,Winter,Cost,SAR,56837010.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
