year,region_name,t1_2_winter_kwh,t1_2_winter_sar,t1_2_rest_kwh,t1_2_rest_sar,annual_kwh,annual_sar,t1_2_winter_kwh_source,t1_2_winter_sar_source,t1_2_rest_kwh_source,t1_2_rest_sar_source,annual_kwh_source,annual_sar_source
2021,Makkah,9119507632.0,2009727458.0,45378765717.0,10433194472.0,54498273349.0,12442921930.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Najran,429201785.0,95069179.0,1588964924.0,383180808.0,2018166709.0,478249987.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Northern Borders,309277127.0,67334139.0,1235235280.0,279104695.0,1544512407.0,346438834.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Qassim,1262290669.0,277701619.0,9423675533.0,2127845105.0,10685966202.0,2405546724.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Riyadh,7796039221.0,1730985918.0,48478866294.0,11552922000.0,56274905515.0,13283907918.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Tabuk,601998801.0,136078020.0,3260738261.0,734721740.0,3862737062.0,870799760.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Al-Bahah,438511503.9631197,95129436.74375255,1744594147.6505747,374203654.8338293,2183105651.613694,469333091.5775818,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2022,Al-Jouf,577782031.280273,124274911.48681298,1929485006.555684,411401253.0067384,2507267037.835957,535676164.4935514,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Asir,1904918502.769524,414583416.7854677,7068160876.405769,1526917250.8940885,8973079379.175293,1941500667.679556,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Eastern Region,3560456040.834077,775137570.7781062,22330217672.695526,4749091858.992446,25890673713.5296,5524229429.770552,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Hail,916045926.675118,197964852.4964336,3554537683.625925,768668166.6378961,4470583610.301043,966633019.1343296,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Jazan,1474368226.1921697,319863623.9876814,6363299962.5908575,1399549855.4882736,7837668188.783028,1719413479.475955,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Madinah,1603432658.666758,351392203.2630456,9116706247.741154,1959853435.2443635,10720138906.407911,2311245638.507409,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Makkah,6905449416.637841,1506458087.9232626,34857940792.14248,7484200719.778509,41763390208.78032,8990658807.70177,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Najran,473619158.6473239,103258087.85763454,2217208939.165246,474613344.810183,2690828097.81257,577871432.6678176,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Northern Borders,455981401.8889453,98825697.08041094,1767270866.0853336,390337957.2707812,2223252267.974279,489163654.3511922,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Qassim,1319360022.1135771,285900564.70996886,7042941762.035676,1517744512.6265588,8362301784.149253,1803645077.336528,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Riyadh,7051873187.09648,1530701468.4044638,41758614119.97405,9058109828.138418,48810487307.07053,10588811296.54288,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2022,Tabuk,879807667.6899235,190772517.6489249,3992525149.825624,858495393.3211132,4872332817.515548,1049267910.9700382,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
